City,Latitude,Longitude,AQI
North Versailles,40.3797913,-79.8094916,3.0
Arcelia,18.3185612,-100.2817918,1.0
Centralia,38.5250491,-89.1334037,4.0
Fairland,39.0762198,-76.9577534,3.0
Holly Springs,34.7675614,-89.4486894,3.0
Pedley,33.976835,-117.4745101,3.0
Ramona,38.59766405,-97.06368436654014,3.0
Clarksburg,39.2806451,-80.3445341,3.0
Kannapolis,35.4874708,-80.621438,3.0
Longview,32.5007031,-94.74049,3.0
Pascagoula,30.3646795,-88.5585995,3.0
Ewing,38.0886603,-88.852287,3.0
Natchez,31.5604076,-91.403171,3.0
Manteca,37.81623435,-121.22178815385232,2.0
